fen,score,move
rn2k2r/pp3p1p/2p1bp2/8/2p1PP2/2N5/PP4PP/R3KB1R w KQkq -,36,f4f5
5k2/6pp/2B2P2/PPR3r1/3P4/7P/6P1/1b4K1 b - -,1074,g5c5
6k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/1R3NK1 w - -,-85,b1b8
r1b1k2r/pp1n1p1p/2p2p2/5P2/2B1P3/2N5/PP4PP/R3K2R w KQkq -,36,e1f2
rnbqkb1r/ppp1pppp/5n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,-20,e7e5
rn1qkb1r/pbpppp1p/1p3np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,28,c7c5
rn1qk2r/pbppppbp/1p3np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,62,c2c4
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,19,f3d4
rnbqkb1r/ppp2ppp/8/3pN3/2B1n3/8/PPPP1PPP/RNBQK2R w KQkq -,-68,c4e2
rn1qk2r/pbppppbp/1p3np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,39,e8h8
r1bq1rk1/ppp2ppp/1N3n2/3pp3/1PBnP3/P2P4/1BP2PPP/R2QK1NR b KQ -,-46,a7b6
r1bq1rk1/pppp1ppp/1b3n2/4p3/1PBnP3/P1NP4/1BP2PPP/R2QK1NR w KQ -,-50,c3a4
8/8/8/8/2n5/k7/2p5/KB6 b - -,mate -3,c2c1b
2b5/ppN3pr/6kp/3p4/2n2R2/8/P4PPP/R3B1K1 b - -,572,h7h8
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,16,g8f6
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,27,b1c3
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,26,e7e6
3r4/4Rbk1/3P4/pB3p2/5P1p/P7/1P3KP1/8 b - -,494,g7f6
4Q3/Pq4pk/5p1p/5P1K/6PP/8/8/8 w - -,mate 12,a7a8b
r1bqkb1r/1p3ppp/p1n1pn2/2p5/P1BP4/4PN2/1P3PPP/RNBQ1RK1 w kq -,6,d1e2
rnbqkb1r/pp1ppppp/5n2/2P5/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,0,e7e6
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,14,g1f3
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2K2PP/RN3Q2 b - -,-425,b6b4
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P3Q1PP/RNr1KR2 w Q -,-417,e1d2
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N2N2/PP1BPPPP/R3KB1R b KQkq -,0,d5c4
8/8/8/8/5Q2/4K3/8/6k1 b - -,mate 3,g1h1
r1b2rk1/p4ppp/1pn2q2/3pN3/3P4/8/PP3PPP/R1BQR1K1 b - -,0,c8f5
R4nk1/6p1/8/P4Nb1/2p5/5p2/8/5K2 b - -,544,g7g6
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,9,c3a4
r3kb1r/2qbpppp/p1p2n2/2PpN3/Q2P4/8/PP3PPP/RNB1K2R w KQkq -,82,b1c3
4qrk1/4npp1/4b2p/b2p4/2pP2P1/p1P2QB1/P1B2PP1/1R3NK1 w - -,88,b1b8
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,4,e7e6
rn1r2k1/ppp2ppp/3q1n2/4b1B1/4P1b1/1BP1Q3/PP3PPP/RN2K1NR b KQ -,mate -2,d6d1
r4rk1/1b4pp/2pR4/1p2q3/nP2P3/6P1/1N2Q1BP/3R2K1 w - -,21,b2a4
k1B5/2K5/8/3N4/8/8/8/8 b - -,mate 3,a8a7
4k3/8/8/8/8/8/8/4KBN1 w - -,mate 32,g1f3
2k3r1/3r4/p1R5/2pN1p2/2pP4/2P3P1/P2q1P1P/1R4K1 b - -,mate 2,d7c7
r3k3/1p2p3/p1n1pnpr/4p2p/7P/1NN5/PPP2PP1/2KR2R1 w q -,130,b3c5
6k1/5pp1/6n1/6P1/2p3bp/R3b3/P1B1N1P1/5K2 b - -,232,e3g5
2B5/k1K5/8/3N4/8/8/8/8 w - -,mate 3,d5c3
rnbqkb1r/p3pppp/2p2n2/1p6/P1pP4/4PN2/1P3PPP/RNBQKB1R w KQkq -,44,a4b5
8/8/5pk1/6pp/3P4/1r4P1/3R1K1P/8 b - -,0,g6f5
r2k2r1/pppb1p1p/2pn4/8/3B4/8/PPP2PPP/2KR1B1R w - -,149,f1d3
4k2r/pp3ppp/2qrpn2/3P4/5Q2/2PB3P/P4PP1/2R2RK1 b - -,-17,c6d5
3r4/1p4k1/p1bPR3/5p2/2B2P1p/8/PP3KP1/8 b - -,296,b7b5
r1b2rk1/1pp3bp/n2p1qp1/p1nPp3/2P1P3/2N1BN1P/PP2BP2/R2QK2R w KQ -,18,d1d2
r1bq1rk1/pp2bppp/2n1pn2/6B1/2BP4/2N2N2/PP3PPP/R2QK2R w KQ -,-10,e1h1
r2q1rk1/ppp3bp/n2p1n2/3P1b2/1PP1N3/1QN1B2P/P3BP2/2KR3R w - -,260,e4g5
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -,0,g1f3
3k4/3P4/1p2K3/p7/P7/3r4/5p2/7R b - -,-591,d3d7
3r4/4Rb2/3P1k2/pB3p2/5P1p/P7/1P3KP1/8 w - -,494,e7a7
8/8/8/8/5Q2/4K3/8/7k w - -,mate 3,f4g4
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,25,b1c3
rnbqkb1r/ppp2ppp/3p4/8/4n3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,17,e4f6
rnbqkb1r/pp2pppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq -,20,c1f4
r1bq1rk1/pppnppbp/3p1npB/8/3PP2P/5P2/PPPQ2P1/RN2KBNR b KQ -,28,c7c5
3rk2r/pp2bpp1/1np1p2p/1q2P2P/5P2/2P3N1/PP1BQ1P1/R4RK1 w k -,9,e2b5
R4nk1/6p1/P7/5Nb1/8/5p2/2p5/5K2 w - -,487,a8c8
r3r1k1/ppp2pbp/2n3p1/4Pb2/8/1NP2N2/PP3PPP/R1B1R1K1 b - -,-16,g7e5
5rk1/3qnpp1/8/b2p2Pp/2pP1Bb1/p1P3Q1/P1B2PP1/1R3NK1 w - -,-23,f4d6
1q2r1k1/5pbp/4pnp1/2NbN3/1p3QP1/1P5P/rBR3BK/3R4 b - -,-553,a2b2
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq -,0,b8c6
R4nk1/6p1/8/5N2/P1p4b/5p2/8/5K2 b - -,602,h4g5
8/8/8/8/8/4kp2/8/4K3 b - -,0,e3d3
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq -,-7,g8f6
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N2P2/PPP3PP/R1BQKB1R b KQkq -,13,e7e5
r2qkb1r/pp1n1p1p/3p1np1/2pP4/Q3P1b1/2N5/PP1N1PPP/R1B1KB1R b KQkq -,141,g4h5
5k2/6pp/2B5/PPR2Pr1/3P4/7P/6P1/1b4K1 w - -,1827,a5a6
1R6/5ppk/4q1n1/b2pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1 w - -,235,f1e3
1k4r1/1bp5/p2p2pp/Nq2r3/1P5P/2Q5/5PP1/3R1RK1 b - -,-104,g6g5
B3Q3/1q4pk/5p1p/5P1K/6PP/8/8/8 b - -,mate 11,b7b3
8/8/8/2N5/8/K3kp2/8/8 b - -,mate -15,f3f2
rnbq1rk1/ppp1bppp/4p3/3p4/2PP4/5NP1/PPQnPPBP/RN3RK1 w - -,60,b1d2
rnb1r1k1/ppp2pbp/5np1/4p1B1/2P1P3/2N2N2/PP2BPPP/2KR3R b - -,3,b8a6
