fen,score,move
4r2k/p1Q4p/1pp2qbR/2P2p2/P2P4/1B2P3/6P1/6K1 w - -,20,c5b6
8/5pp1/p3p2p/1p2P3/1P1N1P1P/P1K3k1/2P3b1/8 w - -,-400,f4f5
rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,4,e2e3
1r4r1/p1p1kp1p/8/2Q5/8/6P1/P4P1P/6K1 b - -,56,e7f6
rn2kb1r/p1p1ppp1/1p1q1n2/P2p3p/3P2bP/1QP5/1P2PPP1/RNB1KBNR b KQkq -,5,b6a5
rnbqk1nr/pp2ppbp/2p3p1/3P4/8/1BN5/PPPP1PPP/R1BQK1NR b KQkq -,58,g8f6
rn1r1bk1/1bq2ppp/p2p1n2/3PpN2/1pP1P2N/1P1Q4/2BB1PPP/R4RK1 w - -,212,d2b4
rnbqkb1r/p2ppp1p/5np1/2pP4/2p5/5N2/PPQ1PPPP/RNB1KB1R w KQkq -,45,e2e4
r3r1k1/1b2qppp/pp1b2P1/3p1B1P/2pPn3/2N1PN2/PPQ2P2/2K3RR b - -,237,f7g6
rnbq1rk1/p3ppb1/2pp1np1/1p5p/3PP2P/4BP2/PPPQN1P1/2KR1BNR b - -,123,b5b4
8/8/2P5/2R2k2/2K3p1/8/3q4/8 b - -,-43,f5e4
1rr3k1/4pp1p/3p2p1/qP1Pn3/1R1QP1b1/2N3P1/5PKP/1R3B2 b - -,-26,g4f3
8/3qk1pp/8/4N3/8/8/6PP/5RK1 w - -,1196,e5d7
r1b1k1r1/ppp2pPp/2n5/8/1bp5/2N2N2/PP3PPP/R1BK3R w q -,123,c3d5
2r4k/2P2rp1/p3p3/1p6/4p3/P3K3/3R4/2R5 w - -,773,d2d8
1RQ2bk1/4rp1p/p5p1/3rP3/8/6PP/q4P2/4R1K1 b - -,mate 11,e7e8
8/4kp2/5Q2/3q2pP/4N1P1/3r1P2/6K1/8 b - -,21,e7f8
r1b1q1k1/pp4rp/n1pB2p1/4p1Q1/2P1P3/2PR2PB/P4P2/3R2K1 b - -,-45,c8h3
rnbqkbnr/1p2pppp/p1p5/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,19,g8f6
r3k2r/5ppp/2pqpnb1/1B1p4/3P2P1/4P2P/PPP2P2/RN1QK2R w KQkq -,37,b5d3
8/5p2/k5pK/P1r4p/5P1P/6P1/R7/8 w - -,634,a2a3
rnbq1bnr/pppk3p/4pp2/3p2pQ/3P4/4P1B1/PPP2PPP/RN2KBNR b KQ -,125,d8e8
rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq -,-9,b8d7
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/5NP1/PP1NPP1P/R2QKB1R b KQ -,3,d7d6
rnbq1rk1/ppp2ppp/4pn2/8/1b1PP3/2NB1N2/PP3PPP/R1BQK2R w KQ -,308,e4e5
rnbqkbnr/ppppp1pp/8/5p2/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -,30,e7e5
rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,10,f8d6
r1bq1b1r/ppp3pp/4k3/3np3/2B5/P1N2Q2/1P1P1PPP/n1BK3R w - -,-57,c3d5
2rR3k/2P2rp1/p3p3/1p6/4p3/P3K3/8/2R5 b - -,870,f7f8
rn3rk1/p2bppbp/6p1/8/1p6/1PP3N1/1P3PPP/R1B1RBK1 w - -,43,c3b4
8/8/R7/8/8/8/1k1K3R/8 w - -,mate 2,h2h3
r2q1rk1/pp3pbp/2n1b1p1/3p4/3Pp3/2P1P1P1/PB1N1PBP/1R1QR1K1 b - -,-14,f8e8
rnb2rk1/1p4b1/p2p2p1/2pPp2p/P3PpPq/2N2P1P/1PPQ4/R2RNBK1 b - -,-66,b8d7
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,6,e2e3
1rr3k1/4pp1p/3p2p1/qP1Pn3/1R1QP3/2N2bP1/5PKP/1R3B2 w - -,-26,g2g1
8/8/8/2k1K2R/8/8/8/8 w - -,mate 11,h5h4
4r1k1/p1pq4/1pN2r2/1P1p1p2/4n2p/P3P3/2Q2PP1/2RR2K1 w - -,52,c6b4
1r2k1r1/p1p2p1p/8/2Q5/8/6P1/P4P1P/6K1 w - -,200,c5c7
rnbqkbnr/pp1p1ppp/8/2p1p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,17,d2d3
r1b1k1r1/ppp2pPp/2n5/3N4/1bp5/5N2/PP3PPP/R1BK3R b q -,133,e8d8
r2qk2r/pp1b1pbp/2n1p1p1/3p4/3P4/P1NBPNP1/1P3PP1/R2QK2R w KQkq -,-8,a1c1
rnbq1rk1/p3ppb1/2pp1np1/1p5p/3PP1PP/2N1BP2/PPPQ4/2KR1BNR b - -,73,b5b4
4R3/pb3p1k/1pB2qpp/8/8/P4NP1/1P3PP1/3r2K1 w - -,-3763,e8e1
r3kb1r/pppqp1pp/2np1n2/5b2/3P4/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,85,b1c3
8/3Nk2p/8/6p1/8/8/6PP/5RK1 w - -,1061,g1f2
r1b1k2r/pp2bppp/1q2p3/3pP3/1P2n3/P4N2/2B2PPP/R1BQ1RK1 w kq -,79,c1e3
r1bq1rk1/ppp1ppbp/1nn3p1/8/8/2NPB1P1/PP1QPPBP/R3K1NR w KQ -,52,g2c6
5r1k/5rp1/p1P1p3/1p6/4p3/P3K3/3R4/2R5 w - -,414,c6c7
8/1p2Q2k/4pp2/p2p1b2/P2P3p/4P2P/2q2PPK/8 b - -,0,h7g6
8/5p2/k5pK/P1r4p/5P1P/R5P1/8/8 b - -,622,c5c4
rnb2rk1/1p4b1/p2p2p1/2pPp3/P3Pppq/2N2P1P/1PPQ4/R2RNBK1 w - -,-9,f3g4
8/2k1R3/8/2K5/8/8/8/8 b - -,mate 5,c7d8
r2qk2r/1p2bppp/p7/4pP2/3nB3/2n5/PP3PPP/R1BQ1RK1 w kq -,237,b2c3
8/8/1R6/8/8/8/1k1K3R/8 b - -,mate 2,b2a2
1rr3k1/4pp1p/3p2p1/qP1Pn3/1R1QP3/2N2bP1/5P1P/1R3BK1 b - -,-22,f3e4
r1bqkbnr/pp2pppp/2np4/8/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,-12,f1c4
r2r2k1/4pp1p/1q2b1p1/2p1b2P/4P1P1/pPP2P2/K2Q4/2NR2NR w - -,-734,d2d8
2r3k1/5pp1/1p2p2p/2b4n/3BP3/r1P2PPP/1R4BK/3R4 b - -,-7,g8f8
rnbqkb1r/p2ppp1p/5np1/2pP4/2p1P3/5N2/PPQ2PPP/RNB1KB1R b KQkq -,45,f8g7
r1b1k1r1/2q1bp1p/p2P4/4p1P1/1p5P/8/PPP1QP2/2KR1B1R b q -,-119,e7d6
8/1q3k2/p3p3/2P4Q/P3P2P/2P5/4r1PK/8 b - -,721,f7g8
r2q1rk1/4npbp/p2p4/3P1p2/4p3/2N5/PPPQBPPP/R4RK1 b - -,0,e7g6
3k4/4R3/8/2K5/8/8/8/8 w - -,mate 5,c5d6
q4rk1/6pp/1p2pp2/3p4/3Q4/1P2P3/5PPP/rN3RK1 w - -,-374,b1d2
rnbqkbnr/pp1p1ppp/8/2p1p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq -,6,b8c6
8/8/1R6/8/8/8/k2K3R/8 w - -,mate 2,h2h1
rnbqkbnr/pp2pppp/2p5/3pN3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,-65,d5e4
r4r2/p5pp/2Q3q1/4knB1/8/3P4/PPP5/4R1K1 b - -,mate 6,f5e3
7k/pq4p1/1p3p1p/2p5/2P2P1n/P2N4/1P4PP/1B2R1K1 w - -,1041,e1e8
rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq -,-39,g8f6
3q1r2/6pp/8/pp2QPk1/8/8/P1P2PPP/5RK1 b - -,440,g5h6
r1bq1rk1/ppp1ppbp/1nB3p1/8/8/2NPB1P1/PP1QPP1P/R3K1NR b KQ -,62,b7c6
1nr1k2r/1p5p/pB2p1p1/1Q6/6Pq/1B5P/PP4P1/4RK1R b k -,-482,a6b5
r1bqkb1r/4pppp/p1p2n2/2p5/3pPP2/3P4/PPP3PP/RNBQK1NR w KQkq -,121,b1a3
r2qr1k1/pp3pbp/2n1b1p1/3p4/3Pp3/2P1P1P1/PB1N1PBP/1R1QR1K1 w - -,-19,b2a3
rnb1kb1r/ppqp1ppp/4pn2/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,-36,d7d5
r1bqk2r/ppp2ppp/1bn2n2/3pP3/1PBp4/2P2N2/P4PPP/RNBQK2R w KQkq d6,-4,e5f6
8/7R/8/8/8/3n1K2/8/6k1 w - -,mate 26,h7h5
r1b1k2r/pp2bppp/1q2p3/3pP3/1P2n3/P3BN2/2B2PPP/R2Q1RK1 b kq -,79,b6c7
rn1qkbnr/ppp1pppp/8/3pN3/3P2b1/8/PPP1PPPP/RNBQKB1R b KQkq -,58,g4f5
r1bqkbnr/pp3ppp/2np4/1N2p3/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,25,g8f6
r2q1rk1/pp1bnnbp/3p2p1/2pPp3/2P1P3/2NNB3/PP1QB1PP/R3K2R w KQ c6,145,h2h4
8/2r2p2/k5pK/P6p/5P1P/R5P1/8/8 w - -,589,h6g7
8/7R/8/4K3/2k5/8/8/8 w - -,mate 12,h7h3
r1bqk2r/p4ppp/2p1pn2/3P4/1b6/2NBB3/PPP2PPP/R2QK2R b KQkq -,-16,c6d5
2r3k1/5p2/1p2p2p/2b3pn/3BP3/r1P2PPP/1R4BK/3R4 w - -,0,g2f1
r1bq1rk1/p1p1ppbp/1np3p1/8/8/2NPB1P1/PP1QPP1P/R3K1NR w KQ -,55,h2h4
rn1q1k1r/1p3Np1/p3b2p/8/5b2/8/PPP1Q1PP/1K1R1B1R b - -,0,f8f7
5k1r/4bp2/2QRp3/8/4P1rq/7P/PPP1NRP1/6K1 b - -,mate -4,g4g2
5k1r/4npb1/pq1pb3/1pr1p2p/1N2B3/N1P1Q1P1/PP3P1P/3RK2R w K -,-19,e1h1
3r1rk1/1pp3p1/pbn1p2p/4P3/1P3q2/5N1P/PQ1N1PP1/5RRK w - -,-242,b4b5
3k4/4R3/3K4/8/8/8/8/8 b - -,mate 4,d8c8
8/8/kp1K4/2p5/8/1P6/8/8 b - -,0,a6b7
r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,10,g2g3
r1br1bk1/2qn1ppp/p2p1n2/3PpNB1/1pP1P2N/1P3Q2/2B2PPP/R2R2K1 b - -,67,a6a5
1nr1k2r/1p5p/1B2p1p1/1p6/6Pq/1B5P/PP4P1/4RK1R w k -,-479,e1e6
r2q1rk1/5pbp/p2p2n1/3P1p2/4p3/2N5/PPPQBPPP/R4RK1 w - -,0,a1b1
r1br2k1/4qpp1/pnp1p2p/4Q3/2P1N3/6P1/PP3PP1/2KR1B1R w - -,185,d1d8
r1b1k1r1/2q2p1p/p2b4/4p1P1/1p5P/8/PPP1QP2/2KR1B1R w q -,-117,f1g2
rnbq1rk1/ppp2ppp/4pn2/4P3/1b1P4/2NB1N2/PP3PPP/R1BQK2R b KQ -,262,f6g4
r1b1k2r/ppq1bppp/4p3/3pP3/1P2n3/P3BN2/2B2PPP/R2Q1RK1 w kq -,85,a1c1
rnbq1rk1/4ppb1/2pp1np1/pp6/3PP1pP/4BP2/PPPQN3/2KR1BNR w - -,269,h4h5
2r3k1/2r1ppb1/3p2P1/pq5p/1p1BP3/1B3P2/PPPQ4/1K1R4 b - -,304,g7d4
2k5/4R3/3K4/8/8/8/8/8 w - -,mate 4,d6c6
4rk2/5p1p/3p2p1/2pP4/2P5/RP5P/5PP1/6K1 w - -,111,g1f1
4Q3/1p6/4ppk1/p2p1b2/P2P3p/4P2P/2q2PPK/8 b - -,0,g6g7
3r2k1/p2q1p1p/2b1r1p1/2Q2B2/2Pp1R2/6PP/PP4PK/3R4 b - -,92,d7e7
1rr3k1/4pp1p/3p2p1/qP1Pn3/1R1Qb3/2N3P1/5P1P/1R3BK1 w - -,-20,d4e4
2b2rk1/3p1pbp/n1pNp1pn/1pP1P3/3P1PP1/7P/3BN1BK/R7 b - -,452,g8h8
rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB1R w KQkq -,71,b1c3
8/3k4/8/1p5p/1P5P/3K4/8/8 b - -,mate 29,d7e7
8/5k2/5Q2/4K3/8/8/b7/8 b - -,mate 4,f7g8
r1bqkbnr/pp1p1ppp/2n5/2p1p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,2,c5d4
r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P1P3/2N5/PP1PBPPP/R1BQK1NR b KQkq -,-9,d7d6
7n/r4PRk/5b2/5N1p/8/1q6/PP6/K7 b - -,mate -4,f6g7
r5k1/5p1p/r2pp1p1/n1p5/5P1N/P1PR1P2/4P2P/R5K1 w - -,-275,h4g2
r1bqkb1r/ppp1pppp/2n5/3n4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,95,c2c4
rnbq1rk1/4ppb1/2pp1np1/pp6/3PP1pP/4BPN1/PPPQ4/2KR1BNR b - -,191,f6h7
r2qr1k1/pp3pbp/2n1b1p1/3p4/3Pp3/2P1P1P1/PB1NQPBP/1R2R1K1 b - -,-54,a8c8
r2qk2r/1p2bppp/p7/4pP2/3nB3/2P5/P4PPP/R1BQ1RK1 b kq -,226,d4b5
7n/r4Pbk/8/5N1p/8/1q6/PP6/K7 w - -,mate -3,f7f8n
r1bqkb1r/ppp1pppp/2n5/3n4/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,116,d5f6
rq2r1k1/1b1nbpp1/1p2pn1p/1NppN3/2PP1P2/1P2P3/1BQ1B1PP/R3R1K1 w - -,37,a1a8
8/3R4/8/4K3/8/2k5/8/8 w - -,mate 10,d7d4
r3k2r/5ppp/2p1pnb1/3p4/1q1P2P1/3BP2P/PPP2P2/RN1QK2R w KQkq -,43,b1d2
r3k1r1/1bq2p1p/p2b4/4p1P1/1p2Q2P/8/PPP2P2/2KR1B1R w q -,-302,e4h7
6k1/8/5Q2/4K3/8/8/b7/8 w - -,mate 4,f6g6
r1b1k2r/ppq1bppp/4p3/3pP3/1P2n3/P3BN2/2B2PPP/2RQ1RK1 b kq -,89,c7b8
r5k1/5p1p/r2pp1p1/n1p5/5P1N/P1PR1P2/4P2P/1R4K1 b - -,-278,a5c4
8/8/1p1K4/k1p5/8/1P6/8/8 w - -,0,d6c6
1rr3k1/4pp1p/3p2p1/qP1Pn3/1R2Q3/2N3P1/5P1P/1R3BK1 b - -,-20,c8c3
r1bq1rk1/p1p1ppbp/1np3pB/8/8/2NP2P1/PP1QPP1P/R3K1NR b KQ -,56,c6c5
r1bqk1nr/pp1pbppp/2n5/2p1p3/2P1P3/2N5/PP1PBPPP/R1BQK1NR w KQkq -,10,d2d3
1nr1k2r/1p5p/1B2R1p1/1p6/6Pq/1B5P/PP4P1/5K1R b k -,-493,e8d7
2rqr1k1/pp3pbp/2n1b1p1/3p4/3Pp3/2P1P1P1/PB1NQPBP/1R2R1K1 w - -,-40,b2a3
r3k1r1/1bq2p1Q/p2b4/4p1P1/1p5P/8/PPP2P2/2KR1B1R b q -,-310,e8a8
r1bqk2r/pp2bppp/2nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq -,32,e1a1
r2qk2r/1p2bppp/p1n5/4pP2/4B3/2P5/P4PPP/R1BQ1RK1 w kq -,235,d1g4
8/8/1R6/8/8/2K5/7R/k7 w - -,mate 2,b6a6
8/3Q1kp1/p3p3/3nB1r1/8/3q3P/PP6/K1R5 b - -,514,f7g6
8/3R4/8/8/2k1K3/8/8/8 w - -,mate 11,d7d5
r1bqk1nr/pp1pbppp/2n5/2p1p3/2P1P3/2N2N2/PP1PBPPP/R1BQK2R b KQkq -,2,d7d6
8/3K4/8/Q7/4k3/4n3/8/8 w - -,mate 18,d7e6
r1bqk2r/1p1pnppp/p3p3/2BN4/2B1P2n/8/PP3PP1/R2QR1K1 b kq -,-67,e6d5
rn1q1rk1/pb2ppbp/1p3np1/2pp2B1/P2P4/2N1PN2/1PP1BPPP/R2Q1RK1 w - -,8,a4a5
rnbq1rk1/pppp1ppp/5n2/4p3/1bP5/2NP2P1/PP2PPBP/R1BQK1NR b KQ -,-6,f8e8
r1bqk2r/pp1pbppp/2n2n2/2p1p3/2P1P3/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,0,d2d3
r5k1/5p1p/r2pp1p1/2p5/2n2P1N/P1PR1P2/4P2P/1R4K1 w - -,-271,h4g2
4rk2/5p1p/3p2p1/2pP4/2P5/1P5P/5PP1/R5K1 b - -,30,e8e2
5k1r/4npb1/Nq1pb3/1pr1p2p/4B3/N1P1Q1P1/PP3P1P/3RK2R b K -,-382,g7h6
8/8/1pK5/k1p5/8/1P6/8/8 b - -,0,a5a6
rn1qkbnr/ppp1pppp/8/3pNb2/3P2P1/8/PPP1PP1P/RNBQKB1R b KQkq -,49,f5e6
3rk2r/pp2bppp/2n5/q2p4/8/1QN4P/PP1B1PP1/R3R1K1 b k -,-51,d8d7
7n/r4PNk/5b2/7p/8/1q6/PP6/K5R1 b - -,mate -1,b3b2
2k5/4R3/2K5/8/8/8/8/8 b - -,mate 3,c8b8
r1bqkb1r/pp1nppp1/2pp1n1p/8/3PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,33,d8c7
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R2QK2R b KQ -,34,b7b6
rn2kbnr/pp1qpppp/3p4/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R b KQkq -,10,b8c6
3q2k1/5p2/6pp/8/4N1P1/5Q1P/5PK1/3r4 w - -,-242,h3h4
8/8/4k3/1p5p/1P2K2P/8/8/8 b - -,mate 27,e6d6
2kr2r1/1bq2p1Q/p2b4/4p1P1/1p5P/8/PPP2P2/2KR1B1R w - -,-312,f1d3
r1bqk1nr/pp1p1ppp/2n5/8/1b1NP3/2N5/PP3PPP/R1BQKB1R b KQkq -,6,g8f6
rnbq1rk1/ppp2ppp/4p3/3nP3/1b1P4/2NB1N2/PP3PPP/R1BQK2R w KQ -,439,d3h7
r1b1kb1r/1pq1pppp/p1np1n2/8/4P3/2N1QN2/PPP1BPPP/R1B1K2R w KQkq -,31,e1h1
1k6/4R3/2K5/8/8/8/8/8 w - -,mate 3,e7e8
7r/1p6/2p2b2/p2p2p1/Pk4B1/1P1RPP1P/2K5/8 b - -,-58,h8h7
r2qk2r/1p2bppp/p1n5/4pP2/4B1Q1/2P5/P4PPP/R1B2RK1 b kq -,264,e7f6
rn1R3r/1p3kp1/p3b2p/8/5b2/8/PPP1Q1PP/1K3B1R b - -,-3,h8d8
rn1qkbnr/ppp1pppp/4b3/3pN3/3P2P1/8/PPP1PP1P/RNBQKB1R w KQkq -,45,f1g2
r1bqk1r1/ppp2pPp/2n5/8/1bp5/2N2N2/PP3PPP/R1BQK2R w KQq -,8,d1d8
q4rk1/6pp/1Q2pp2/3p4/8/1P2P3/5PPP/rN3RK1 b - -,-399,a8a6
4k2r/pp1rbppp/2n5/q2p4/8/1QN4P/PP1B1PP1/R3R1K1 w k -,-56,c3e4
r1bR2k1/4qpp1/pnp1p2p/4Q3/2P1N3/6P1/PP3PP1/2K2B1R b - -,204,e7d8
r1bqkb1r/p4ppp/2n1pn2/1p1p4/2pPPB2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,24,e4e5
rnbqkbnr/ppp1pppp/3p4/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -,48,g8f6
r5k1/4pp1p/1q2b1p1/2p4P/4P1P1/pPb2P2/K1Q5/2N3NR b - -,-688,c3g7
rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/2PBPN2/PP3PPP/RNBQK2R w KQ -,0,b1d2
1nr4r/1p1k3p/1B2R1p1/1p6/6Pq/1B5P/PP4P1/5K1R w - -,-480,f1e2
rnb1kb1r/ppq2ppp/4pn2/2pp4/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,-35,g2g3
r5k1/5p1p/r2pp1p1/2p5/2n2P1N/P1PR1P2/4PK1P/1R6 b - -,-274,a6a3
1r3rk1/p4p1p/5pp1/2Pq4/2pP4/4P1P1/P2QNP1P/5RK1 w - -,109,e2c3
rn2kbnr/pp2pppp/3p4/2p5/2P1P1q1/5N2/PP1P1PPP/RNBQK2R w KQkq -,49,e1h1
2rqr1k1/pp3pbp/2n1b1p1/3p4/3Pp3/2P1P1P1/PB1NQPBP/1RR3K1 b - -,-58,a7a6
rn1r4/1p3kp1/p3b2p/8/5b2/8/PPP1Q1PP/1K3B1R w - -,-44,e2f3
r1bq2k1/5pp1/pnp1p2p/4Q3/2P1N3/6P1/PP3PP1/2K2B1R w - -,227,f1e2
5k1r/4np2/Nq1pb2b/1pr1p2p/4B3/N1P1Q1P1/PP3P1P/3RK2R w K -,-380,e3d3
r1bqkbnr/4pppp/p1p5/2pp4/4PP2/2NP4/PPP3PP/R1BQK1NR b KQkq -,64,g8f6
r1bq1rk1/p2pbppp/1pn2n2/2p1p3/2P1P3/1PN2N2/P2PBPPP/R1BQ1RK1 w - -,15,f3e1
rnbqk2r/ppp1ppbp/5np1/8/3PpB2/2N2N2/PPP2PPP/R2QKB1R w KQkq -,-76,f3e5
rnbqk2r/p2pppbp/5np1/2pP4/2p1P3/5N2/PPQ2PPP/RNB1KB1R w KQkq -,47,b1c3
8/8/2K5/Q7/3k4/4n3/8/8 w - -,mate 18,a5a1
r1bqkbnr/pp1p1ppp/2n1p3/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,-28,f8b4
8/2r2pK1/k5p1/P6p/5P1P/R5P1/8/8 b - -,661,a6b5
8/2R5/8/8/1k2K3/8/8/8 w - -,mate 9,e4d5
rnb1kb1r/ppq2ppp/4pn2/2pp4/4P3/1P1P1N2/P1P2PPP/RNBQKB1R b KQkq -,-87,b8c6
r1bq1rk1/1p2ppbp/2np1np1/p7/P2NP3/1BN1B3/1PP2PPP/R2QK2R w KQ -,84,d4b5
5k2/5p1p/3p2p1/2pP4/2P5/1P5P/2r2PP1/1R4K1 w - -,23,h3h4
r1bq2k1/5pp1/pnp1p2p/4Q3/2P1N3/6P1/PP2BPP1/2K4R b - -,208,a6a5
r2q1rk1/pp1b1pbp/2n1p1p1/3p4/3P4/PQNBPNP1/1P3PP1/R3K2R w KQ -,-25,e1h1
r5k1/5p1p/3pp1p1/2p5/2n2P1N/r1PR1P2/4PK1P/1R6 w - -,-275,b1b7
rnbq1rk1/ppp2ppB/4p3/3nP3/1b1P4/2N2N2/PP3PPP/R1BQK2R b KQ -,357,g8h7
7Q/1p6/4pp1k/p2p1b2/P2P3p/4P2P/2q2PPK/8 b - -,0,f5h7
R7/P5k1/6p1/5P2/7P/8/r7/6K1 b - -,0,g6f5
1nr4r/1p1k3p/1B2R1p1/1p6/6Pq/1B5P/PP2K1P1/7R b - -,-505,c8e8
rn2kbnr/pp2pppp/3p4/2p5/2P1P1q1/5N2/PP1P1PPP/RNBQ1RK1 b kq -,43,g8f6
rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/2PBPN2/PP3PPP/RNBQ1RK1 b - -,-12,b7b6
1qr1r1k1/3B1ppp/Qp3n2/3p4/1B6/4Pp1P/P1P2PP1/1R1R2K1 b - -,9,f6d7
r1bqkbnr/pppp1ppp/8/4p3/3nP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,60,f3d4
rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/2N1PN2/PPP2PPP/R2QKB1R w KQ -,-1,f1e2
1r3k2/1p4pp/1Pp2p2/P2p4/3Pb1P1/7P/5P2/2R2BK1 w - -,432,c1c6
4r3/1p6/2p2b2/p2p2p1/Pk4B1/1P1RPP1P/2K5/8 w - -,-65,g4f5
8/8/2k5/1p2K2p/1P5P/8/8/8 b - -,mate 25,c6c7
2r1r1k1/pp3pbp/2n1b1p1/q2p4/3Pp3/2P1P1P1/PB1NQPBP/1RR3K1 w - -,4,c3c4
r1bqkb1r/p4ppp/2n1pn2/1p1pP3/2pP1B2/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,8,f6d7
8/2R5/8/1k6/3K4/8/8/8 w - -,mate 9,c7c1
8/3r1pK1/k5p1/P6p/5P1P/R5P1/8/8 w - -,695,g7f6
r2qkb1r/pp1n1ppp/2p2n2/3p3b/3P4/5NPP/PP2PPB1/RNBQ1RK1 w kq -,31,b1c3
r1bqkbnr/4pppp/p1p5/2pp4/4PP2/2N5/PPPP2PP/R1BQK1NR w KQkq -,62,d2d3
2r3k1/2r2pb1/3p2P1/pq2p2p/1p1BP3/1B3P2/PPPQ4/1K1R4 w - -,427,d2g5
5r1k/6p1/p1P1p3/1p2Kr2/8/P7/3R4/2R5 w - -,340,e5d6
8/8/1R6/8/8/8/2K4R/k7 b - -,mate 1,a1a2
rn1qkb1r/pp1npppp/2p5/3pP3/3P1P2/5Q2/PPP3PP/RNB1KB1R b KQkq -,13,e7e6
r1bqkbnr/1p1ppppp/p1n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,45,b5c6
rnbq1r2/ppp2ppk/4p3/3nP1N1/1b1P4/2N5/PP3PPP/R1BQK2R b KQ -,355,h7g8
rnbqk1nr/pp3ppp/4p3/b1ppP3/1P1P4/P1N5/2P2PPP/R1BQKBNR b KQkq -,39,c5d4
r2qkb1r/pp1npppp/2p2n2/3p3b/8/3P1NPP/PPP1PPB1/RNBQ1RK1 w kq -,13,d1e1
r4rk1/1pp3p1/pbnpp1qp/8/1P1PP3/5N1P/PQ1N1PPK/5RR1 b - -,-200,g6f6
rnbq1rk1/p3ppbp/2pp1np1/1p6/3PP2P/2N1BP2/PPPQ2P1/2KR1BNR b - -,108,d8a5
rnbq1rk1/ppp1npbp/6p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b Qq -,-25,c7c5
r1b1kb1r/pp1npp1p/2pp1n2/q5p1/4P3/2NP3P/PPP1BPPN/R1BQK2R b KQkq -,66,f8g7
r1bq1rk1/pp2ppbp/2np1np1/6B1/4P3/1NN5/PPPQ1PPP/2KR1B1R b - -,25,c8e6
1r4k1/4pp1p/3p2p1/qP1Pn3/1R2Q3/2r3P1/5P1P/1R3BK1 w - -,-24,g1g2
8/8/1R6/8/8/8/k1K4R/8 w - -,mate 1,b6a6
r3r1k1/1b2qpp1/pp1b2Pp/3p1B1P/2pPn3/2N1PN2/PPQ2P2/2K3RR w - -,266,g6f7
r1b1k2r/ppq1bppp/4p3/3pP3/1P6/P1n1BN2/2B2PPP/2RQ1RK1 w kq -,327,c2a4
5r1k/6p1/p1PKp3/1p3r2/8/P7/3R4/2R5 b - -,327,f5f7
r1bqkb1r/p2n1ppp/2n1p3/1p1pP3/2pP1B2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,25,a2a3
rnbq1rk1/ppp2pp1/4p3/3nP1N1/1b1P4/2N5/PP3PPP/R1BQK2R w KQ -,472,d1h5
3q2k1/5p2/6pp/7P/3rN1P1/5Q2/5PK1/8 b - -,-211,d8e7
5rk1/3nppbp/r2p1np1/q1pPP3/5B2/2N2N1P/PP3PP1/R2Q1RK1 b - -,46,f6h5
